1.234 -0,75 -0,18 2 4 4 -0,89 0 0 -1,00 1 2 -0,90 -0,98 0
0 -0,73 -0,73 2 8 4 -0,99 0 0 -1,00 0 2 -0,84 -1,00 0
0 -0,52 -0,88 1 4 4 -0,91 0 0 -1,00 1 2 -0,72 -1,00 0
0 -0,76 -0,18 1 5 3 -1,00 1 1 -0,67 1 2 -1,00 -1,00 1
1 -0,81 -0,42 2 6 4 -0,86 1 1 -0,58 0 2 -0,94 -1,00 1
0 -0,94 -0,96 2 8 8 -0,89 1 1 -0,94 0 2 -0,90 -1,00 1
1 -0,89 -0,54 2 3 4 -0,99 0 0 -1,00 0 2 -0,94 -1,00 0
0 0,35 -0,68 2 11 8 -0,79 1 1 -0,82 0 2 -0,96 -0,99 1
1 -0,58 -0,93 1 2 8 -0,79 0 0 -1,00 0 2 -0,82 -0,99 0
0 0,26 -0,49 2 4 8 -0,53 1 1 -0,91 1 2 -0,90 -1,00 0
1 -0,41 -0,88 2 14 8 -0,68 1 1 -0,88 1 2 -0,75 -0,98 1
1 -0,17 -0,64 2 11 8 -0,65 1 1 -0,82 1 2 -0,53 -1,00 1
1 -0,79 -0,91 1 8 8 -0,90 1 1 -0,91 1 2 -0,86 -1,00 0
1 -0,36 -0,64 2 14 8 -0,47 1 1 -0,82 1 2 -1,00 -0,98 1
1 0,35 -0,81 2 8 4 -0,83 0 0 -1,00 1 2 -0,68 -1,00 0
1 0,03 -0,57 2 4 4 -1,00 0 0 -1,00 0 2 -1,00 -0,95 1
1 -0,52 -0,68 2 9 4 -0,47 1 1 -0,94 1 2 -0,67 -1,00 1
0 -0,84 -0,36 2 6 4 -0,95 1 1 -0,94 0 2 -0,91 -0,99 1
1 -0,81 -0,91 1 4 4 -0,99 0 0 -1,00 0 2 -0,86 -1,00 0
0 -0,74 -0,60 2 11 4 -0,82 1 1 -0,79 0 2 -0,87 -0,93 1
0 -0,57 -0,96 2 6 4 -1,00 0 0 -1,00 0 2 -0,74 -0,98 0
