1.234 -7,49 -1,81 2 4 4 -8,89 0 0 -10,00 1 2 -9,00 -9,76 0
0 -7,32 -7,29 2 8 4 -9,88 0 0 -10,00 0 2 -8,40 -10,00 0
0 -5,24 -8,75 1 4 4 -9,12 0 0 -10,00 1 2 -7,20 -10,00 0
0 -7,62 -1,79 1 5 3 -10,00 1 1 -6,72 1 2 -10,00 -10,00 1
1 -8,07 -4,16 2 6 4 -8,62 1 1 -5,82 0 2 -9,40 -9,97 1
0 -9,37 -9,59 2 8 8 -8,95 1 1 -9,40 0 2 -9,00 -10,00 1
1 -8,90 -5,36 2 3 4 -9,91 0 0 -10,00 0 2 -9,40 -9,98 0
0 3,51 -6,81 2 11 8 -7,87 1 1 -8,21 0 2 -9,57 -9,89 1
1 -5,77 -9,29 1 2 8 -7,89 0 0 -10,00 0 2 -8,24 -9,89 0
0 2,63 -4,94 2 4 8 -5,26 1 1 -9,10 1 2 -9,00 -9,99 0
1 -4,06 -8,75 2 14 8 -6,84 1 1 -8,81 1 2 -7,47 -9,83 1
1 -1,68 -6,43 2 11 8 -6,49 1 1 -8,21 1 2 -5,30 -10,00 1
1 -7,92 -9,11 1 8 8 -9,04 1 1 -9,10 1 2 -8,60 -9,96 0
1 -3,63 -6,43 2 14 8 -4,74 1 1 -8,21 1 2 -10,00 -9,80 1
1 3,48 -8,06 2 8 4 -8,31 0 0 -10,00 1 2 -6,80 -10,00 0
1 0,32 -5,69 2 4 4 -9,97 0 0 -10,00 0 2 -10,00 -9,46 1
1 -5,24 -6,79 2 9 4 -4,74 1 1 -9,40 1 2 -6,70 -10,00 1
0 -8,45 -3,57 2 6 4 -9,47 1 1 -9,40 0 2 -9,12 -9,88 1
1 -8,12 -9,11 1 4 4 -9,91 0 0 -10,00 0 2 -8,60 -10,00 0
0 -7,39 -5,96 2 11 4 -8,19 1 1 -7,91 0 2 -8,71 -9,35 1
0 -5,66 -9,59 2 6 4 -9,97 0 0 -10,00 0 2 -7,40 -9,80 0
0 -8,37 -9,59 1 6 4 -9,59 1 0 -10,00 1 2 -8,40 -10,00 0
1 -1,75 -9,05 2 2 4 -9,88 0 0 -10,00 0 2 -8,32 -10,00 0
1 -1,63 -8,75 2 4 4 -9,85 1 0 -10,00 0 2 -8,40 -10,00 0
1 -8,27 -3,16 2 6 4 -9,45 0 0 -10,00 0 2 -9,20 -9,93 0
1 -4,29 -8,93 2 13 8 -6,14 1 1 -9,10 1 2 -10,00 -10,00 1
1 -7,37 -9,91 1 4 4 -9,91 0 0 -10,00 0 2 -8,00 -9,99 0
1 -4,16 -7,83 1 8 8 -8,57 1 1 -9,70 1 2 -8,20 -6,39 1
0 -4,91 -1,43 2 8 4 -8,60 1 1 -9,70 0 2 -7,80 -10,00 1
1 -7,19 -8,21 2 8 4 -9,24 1 1 -6,72 1 2 -9,40 -9,56 1
1 -6,02 -9,46 2 8 8 -7,02 1 1 -9,10 1 2 -6,88 -9,97 1
0 -7,99 -2,50 1 14 8 -10,00 0 0 -10,00 1 2 -8,46 -9,99 0
1 1,60 -9,02 1 8 8 -3,36 1 0 -10,00 1 2 -8,00 -9,98 0
1 -7,19 -1,79 2 9 8 -8,51 1 1 -6,72 1 2 -7,10 -9,94 1
1 -1,25 -9,11 2 7 4 -0,26 0 1 -9,70 1 2 -6,48 -9,98 0
1 8,37 3,57 1 1 1 -9,97 0 1 -9,40 0 2 -10,00 -9,93 0
1 -6,62 -1,07 2 6 4 -7,89 1 0 -10,00 1 1 -9,80 -10,00 1
1 -2,23 -0,06 2 9 4 -3,95 1 1 -8,21 1 2 -9,30 -10,00 1
0 0,23 -4,29 2 8 4 -4,47 1 1 -8,21 1 2 -10,00 -9,75 1
0 0,13 -7,86 2 14 4 -0,26 1 1 -9,40 1 2 -4,81 -9,66 1
1 -7,17 -10,00 2 13 4 -9,94 1 0 -10,00 0 2 -10,00 -10,00 1
1 -7,34 -8,93 1 6 4 -9,62 0 0 -10,00 1 2 -8,80 -9,99 0
1 -6,09 -9,20 2 14 8 -9,12 1 0 -10,00 0 2 -10,00 -8,94 1
1 4,91 -9,61 2 8 4 -9,59 1 1 -9,10 1 2 -8,20 -10,00 0
1 -6,99 -9,71 1 8 4 -9,97 0 1 -9,40 0 2 -8,72 -10,00 0
0 -7,89 -2,68 2 11 4 -9,50 1 1 -9,40 1 2 -9,51 -10,00 1
0 -6,77 -8,75 1 8 4 -9,88 0 0 -10,00 0 2 -8,68 -10,00 0
1 -9,27 -9,97 2 8 4 -9,97 0 0 -10,00 0 2 -10,00 -10,00 1
0 -5,26 -8,57 1 10 8 -8,60 0 0 -10,00 0 2 -7,44 -10,00 0
0 1,75 0,71 2 8 4 -6,14 1 1 -5,82 0 2 -10,00 -9,56 1
1 -4,41 -7,50 2 4 4 -9,65 0 0 -10,00 1 2 -7,68 -10,00 0
1 -7,80 -7,06 1 3 8 -9,97 0 0 -10,00 0 2 -8,60 -9,98 0
1 -5,66 -9,91 1 4 4 -9,94 0 0 -10,00 0 2 -7,84 -9,58 0
1 -8,42 -8,75 1 8 4 -8,36 0 0 -10,00 1 2 -8,88 -10,00 0
1 -5,84 -7,68 1 11 8 -6,43 0 1 -9,40 1 2 -6,31 -10,00 0
1 -5,77 -8,93 2 9 4 -8,60 1 1 -6,72 1 2 -5,66 -9,99 1
1 -2,11 -5,36 2 6 5 -7,54 1 1 -9,70 0 2 -10,00 -9,90 1
0 -2,91 -8,21 2 3 8 -9,85 0 0 -10,00 0 2 -7,40 -9,95 0
1 -1,35 -6,49 1 9 4 -7,78 1 0 -10,00 1 2 -9,48 -9,71 1
1 2,93 -1,25 2 7 4 -9,12 1 1 -8,81 1 2 -8,00 -10,00 1
1 -1,15 -6,43 2 3 5 -8,42 0 0 -10,00 1 2 -8,59 -10,00 0
0 -6,99 -9,49 2 9 4 -9,82 0 1 -9,70 1 2 -7,60 -10,00 0
1 -8,57 -8,57 2 3 4 -8,95 1 1 -9,40 0 2 -8,80 -9,94 1
0 -1,86 -7,50 2 3 5 -9,65 0 0 -10,00 0 1 1,60 -10,00 0
0 -6,77 -9,64 2 11 8 -8,95 1 0 -10,00 0 2 -7,20 -9,84 1
1 -1,50 -3,01 2 14 8 -4,41 1 1 -7,61 0 2 -10,00 -10,00 1
0 -8,27 -9,89 2 11 4 -9,97 0 0 -10,00 1 2 -6,20 -10,00 0
1 -7,67 -1,79 2 3 4 -9,65 1 0 -10,00 1 2 -9,00 -9,99 0
