1.234 0,13 0,41 2 4 4 0,06 0 0 0,00 1 2 0,05 0,01 0
0 0,13 0,14 2 8 4 0,01 0 0 0,00 0 2 0,08 0,00 0
0 0,24 0,06 1 4 4 0,04 0 0 0,00 1 2 0,14 0,00 0
0 0,12 0,41 1 5 3 0,00 1 1 0,16 1 2 0,00 0,00 1
1 0,10 0,29 2 6 4 0,07 1 1 0,21 0 2 0,03 0,00 1
0 0,03 0,02 2 8 8 0,05 1 1 0,03 0 2 0,05 0,00 1
1 0,06 0,23 2 3 4 0,00 0 0 0,00 0 2 0,03 0,00 0
0 0,68 0,16 2 11 8 0,11 1 1 0,09 0 2 0,02 0,01 1
1 0,21 0,04 1 2 8 0,11 0 0 0,00 0 2 0,09 0,01 0
0 0,63 0,25 2 4 8 0,24 1 1 0,04 1 2 0,05 0,00 0
1 0,30 0,06 2 14 8 0,16 1 1 0,06 1 2 0,13 0,01 1
1 0,42 0,18 2 11 8 0,18 1 1 0,09 1 2 0,24 0,00 1
1 0,10 0,04 1 8 8 0,05 1 1 0,04 1 2 0,07 0,00 0
1 0,32 0,18 2 14 8 0,26 1 1 0,09 1 2 0,00 0,01 1
1 0,67 0,10 2 8 4 0,08 0 0 0,00 1 2 0,16 0,00 0
1 0,52 0,22 2 4 4 0,00 0 0 0,00 0 2 0,00 0,03 1
1 0,24 0,16 2 9 4 0,26 1 1 0,03 1 2 0,17 0,00 1
0 0,08 0,32 2 6 4 0,03 1 1 0,03 0 2 0,04 0,01 1
1 0,09 0,04 1 4 4 0,00 0 0 0,00 0 2 0,07 0,00 0
0 0,13 0,20 2 11 4 0,09 1 1 0,10 0 2 0,06 0,03 1
0 0,22 0,02 2 6 4 0,00 0 0 0,00 0 2 0,13 0,01 0
0 0,08 0,02 1 6 4 0,02 1 0 0,00 1 2 0,08 0,00 0
1 0,41 0,05 2 2 4 0,01 0 0 0,00 0 2 0,08 0,00 0
1 0,42 0,06 2 4 4 0,01 1 0 0,00 0 2 0,08 0,00 0
1 0,09 0,34 2 6 4 0,03 0 0 0,00 0 2 0,04 0,00 0
1 0,29 0,05 2 13 8 0,19 1 1 0,04 1 2 0,00 0,00 1
1 0,13 0,00 1 4 4 0,00 0 0 0,00 0 2 0,10 0,00 0
1 0,29 0,11 1 8 8 0,07 1 1 0,01 1 2 0,09 0,18 1
0 0,25 0,43 2 8 4 0,07 1 1 0,01 0 2 0,11 0,00 1
1 0,14 0,09 2 8 4 0,04 1 1 0,16 1 2 0,03 0,02 1
1 0,20 0,03 2 8 8 0,15 1 1 0,04 1 2 0,16 0,00 1
0 0,10 0,38 1 14 8 0,00 0 0 0,00 1 2 0,08 0,00 0
1 0,58 0,05 1 8 8 0,33 1 0 0,00 1 2 0,10 0,00 0
1 0,14 0,41 2 9 8 0,07 1 1 0,16 1 2 0,15 0,00 1
1 0,44 0,04 2 7 4 0,49 0 1 0,01 1 2 0,18 0,00 0
1 0,92 0,68 1 1 1 0,00 0 1 0,03 0 2 0,00 0,00 0
1 0,17 0,45 2 6 4 0,11 1 0 0,00 1 1 0,01 0,00 1
1 0,39 0,50 2 9 4 0,30 1 1 0,09 1 2 0,04 0,00 1
0 0,51 0,29 2 8 4 0,28 1 1 0,09 1 2 0,00 0,01 1
0 0,51 0,11 2 14 4 0,49 1 1 0,03 1 2 0,26 0,02 1
1 0,14 0,00 2 13 4 0,00 1 0 0,00 0 2 0,00 0,00 1
1 0,13 0,05 1 6 4 0,02 0 0 0,00 1 2 0,06 0,00 0
1 0,20 0,04 2 14 8 0,04 1 0 0,00 0 2 0,00 0,05 1
1 0,75 0,02 2 8 4 0,02 1 1 0,04 1 2 0,09 0,00 0
1 0,15 0,01 1 8 4 0,00 0 1 0,03 0 2 0,06 0,00 0
