1.234 -0,07 0,27 2 4 4 -0,06 0 0 -0,10 1 2 -0,00 0,00 0
0 -0,06 -0,04 2 8 4 -0,18 0 0 -0,10 0 2 -0,00 -0,00 0
0 -0,01 -0,12 1 4 4 -0,09 0 0 -0,10 1 2 0,00 -0,00 0
0 -0,07 0,27 1 5 3 -0,20 1 1 0,36 1 2 -0,01 -0,00 1
1 -0,08 0,14 2 6 4 -0,02 1 1 0,49 0 2 -0,00 -0,00 1
0 -0,11 -0,17 2 8 8 -0,06 1 1 -0,02 0 2 -0,00 -0,00 1
1 -0,10 0,07 2 3 4 -0,19 0 0 -0,10 0 2 -0,00 -0,00 0
0 0,19 -0,01 2 11 8 0,07 1 1 0,15 0 2 -0,00 -0,00 1
1 -0,03 -0,15 1 2 8 0,07 0 0 -0,10 0 2 -0,00 -0,00 0
0 0,17 0,09 2 4 8 0,40 1 1 0,03 1 2 -0,00 -0,00 0
1 0,01 -0,12 2 14 8 0,20 1 1 0,07 1 2 0,00 -0,00 1
1 0,07 0,01 2 11 8 0,25 1 1 0,15 1 2 0,01 -0,00 1
1 -0,08 -0,14 1 8 8 -0,08 1 1 0,03 1 2 -0,00 -0,00 0
1 0,02 0,01 2 14 8 0,47 1 1 0,15 1 2 -0,01 -0,00 1
1 0,19 -0,08 2 8 4 0,02 0 0 -0,10 1 2 0,00 -0,00 0
1 0,12 0,05 2 4 4 -0,20 0 0 -0,10 0 2 -0,01 0,00 1
1 -0,01 -0,01 2 9 4 0,47 1 1 -0,02 1 2 0,00 -0,00 1
0 -0,09 0,17 2 6 4 -0,13 1 1 -0,02 0 2 -0,00 -0,00 1
1 -0,08 -0,14 1 4 4 -0,19 0 0 -0,10 0 2 -0,00 -0,00 0
0 -0,07 0,04 2 11 4 0,03 1 1 0,19 0 2 -0,00 0,00 1
0 -0,02 -0,17 2 6 4 -0,20 0 0 -0,10 0 2 0,00 -0,00 0
0 -0,09 -0,17 1 6 4 -0,15 1 0 -0,10 1 2 -0,00 -0,00 0
1 0,07 -0,14 2 2 4 -0,18 0 0 -0,10 0 2 -0,00 -0,00 0
1 0,07 -0,12 2 4 4 -0,18 1 0 -0,10 0 2 -0,00 -0,00 0
1 -0,09 0,20 2 6 4 -0,13 0 0 -0,10 0 2 -0,00 -0,00 0
1 0,01 -0,13 2 13 8 0,29 1 1 0,03 1 2 -0,01 -0,00 1
1 -0,06 -0,19 1 4 4 -0,19 0 0 -0,10 0 2 0,00 -0,00 0
1 0,01 -0,07 1 8 8 -0,02 1 1 -0,06 1 2 -0,00 0,00 1
0 -0,01 0,29 2 8 4 -0,02 1 1 -0,06 0 2 0,00 -0,00 1
1 -0,06 -0,09 2 8 4 -0,10 1 1 0,36 1 2 -0,00 0,00 1
1 -0,03 -0,16 2 8 8 0,18 1 1 0,03 1 2 0,00 -0,00 1
0 -0,08 0,23 1 14 8 -0,20 0 0 -0,10 1 2 -0,00 -0,00 0
1 0,15 -0,14 1 8 8 0,65 1 0 -0,10 1 2 0,00 -0,00 0
1 -0,06 0,27 2 9 8 -0,01 1 1 0,36 1 2 0,00 -0,00 1
1 0,08 -0,14 2 7 4 1,04 0 1 -0,06 1 2 0,01 -0,00 0
1 0,31 0,58 1 1 1 -0,20 0 1 -0,02 0 2 -0,01 -0,00 0
1 -0,05 0,31 2 6 4 0,07 1 0 -0,10 1 1 -0,01 -0,00 1
1 0,06 0,37 2 9 4 0,57 1 1 0,15 1 2 -0,00 -0,00 1
0 0,12 0,13 2 8 4 0,51 1 1 0,15 1 2 -0,01 0,00 1
0 0,11 -0,07 2 14 4 1,04 1 1 -0,02 1 2 0,01 0,00 1
1 -0,06 -0,19 2 13 4 -0,19 1 0 -0,10 0 2 -0,01 -0,00 1
1 -0,06 -0,13 1 6 4 -0,15 0 0 -0,10 1 2 -0,00 -0,00 0
1 -0,03 -0,15 2 14 8 -0,09 1 0 -0,10 0 2 -0,01 0,00 1
1 0,23 -0,17 2 8 4 -0,15 1 1 0,03 1 2 -0,00 -0,00 0
1 -0,06 -0,18 1 8 4 -0,20 0 1 -0,02 0 2 -0,00 -0,00 0
0 -0,08 0,22 2 11 4 -0,14 1 1 -0,02 1 2 -0,00 -0,00 1
0 -0,05 -0,12 1 8 4 -0,18 0 0 -0,10 0 2 -0,00 -0,00 0
1 -0,11 -0,19 2 8 4 -0,20 0 0 -0,10 0 2 -0,01 -0,00 1
0 -0,01 -0,11 1 10 8 -0,02 0 0 -0,10 0 2 0,00 -0,00 0
0 0,15 0,41 2 8 4 0,29 1 1 0,49 0 2 -0,01 0,00 1
1 0,01 -0,05 2 4 4 -0,15 0 0 -0,10 1 2 0,00 -0,00 0
1 -0,07 -0,03 1 3 8 -0,20 0 0 -0,10 0 2 -0,00 -0,00 0
1 -0,02 -0,19 1 4 4 -0,19 0 0 -0,10 0 2 0,00 0,00 0
1 -0,09 -0,12 1 8 4 0,01 0 0 -0,10 1 2 -0,00 -0,00 0
1 -0,03 -0,06 1 11 8 0,26 0 1 -0,02 1 2 0,01 -0,00 0
1 -0,03 -0,13 2 9 4 -0,02 1 1 0,36 1 2 0,01 -0,00 1
1 0,06 0,07 2 6 5 0,11 1 1 -0,06 0 2 -0,01 -0,00 1
0 0,04 -0,09 2 3 8 -0,18 0 0 -0,10 0 2 0,00 -0,00 0
1 0,08 0,01 1 9 4 0,08 1 0 -0,10 1 2 -0,00 0,00 1
1 0,18 0,30 2 7 4 -0,09 1 1 0,07 1 2 0,00 -0,00 1
1 0,08 0,01 2 3 5 0,00 0 0 -0,10 1 2 -0,00 -0,00 0
0 -0,06 -0,16 2 9 4 -0,18 0 1 -0,06 1 2 0,00 -0,00 0
1 -0,09 -0,11 2 3 4 -0,06 1 1 -0,02 0 2 -0,00 -0,00 1
0 0,07 -0,05 2 3 5 -0,15 0 0 -0,10 0 1 0,03 -0,00 0
0 -0,05 -0,17 2 11 8 -0,06 1 0 -0,10 0 2 0,00 -0,00 1
1 0,07 0,20 2 14 8 0,51 1 1 0,24 0 2 -0,01 -0,00 1
0 -0,09 -0,19 2 11 4 -0,20 0 0 -0,10 1 2 0,01 -0,00 0
1 -0,07 0,27 2 3 4 -0,15 1 0 -0,10 1 2 -0,00 -0,00 0
1 -0,00 -0,08 2 1 1 -0,20 0 1 0,11 0 2 -0,00 -0,00 0
1 -0,03 -0,13 2 13 8 -0,03 1 1 0,41 1 2 0,01 -0,00 1
1 0,12 0,87 1 1 1 -0,20 1 0 -0,10 1 2 -0,01 -0,00 0
0 -0,01 -0,14 2 9 8 -0,20 0 1 0,03 0 2 -0,01 -0,00 0
1 -0,02 -0,14 2 9 4 -0,04 0 0 -0,10 0 2 0,00 -0,00 0
1 -0,02 0,01 1 8 5 -0,06 1 1 0,24 1 2 -0,00 -0,00 1
1 0,06 0,68 2 10 9 1,59 1 1 0,36 0 2 -0,01 0,00 1
1 0,04 -0,02 2 11 4 0,11 0 0 -0,10 0 2 0,01 -0,00 0
1 -0,04 -0,18 2 4 8 0,11 0 0 -0,10 1 2 0,01 -0,00 0
1 -0,01 -0,05 2 8 4 -0,18 0 0 -0,10 0 2 0,00 -0,00 0
1 -0,06 -0,19 2 4 4 -0,11 0 1 0,36 0 1 -0,01 -0,00 0
0 0,00 -0,13 2 9 4 -0,10 1 1 0,58 0 2 -0,00 0,00 1
1 -0,05 -0,05 2 13 4 -0,14 1 1 0,19 0 2 -0,01 0,00 1
0 0,03 -0,04 2 1 1 -0,20 0 1 0,15 0 2 -0,01 -0,00 0
0 -0,09 0,21 2 2 4 -0,16 0 0 -0,10 0 2 -0,00 -0,00 0
1 0,06 0,01 2 3 5 -0,18 0 0 -0,10 0 2 0,01 -0,00 0
1 -0,06 -0,15 2 8 4 -0,15 0 0 -0,10 1 1 0,00 -0,00 0
1 0,04 -0,19 2 8 4 -0,20 0 0 -0,10 0 3 -0,00 -0,00 1
0 -0,05 0,36 2 11 8 -0,06 0 0 -0,10 0 2 0,00 -0,00 0
0 0,11 0,33 2 3 5 0,26 1 1 0,28 1 2 -0,01 -0,00 1
1 0,02 0,02 2 9 4 -0,19 0 0 -0,10 1 2 0,00 -0,00 1
1 -0,07 -0,17 1 1 1 -0,20 0 0 -0,10 0 2 -0,00 -0,00 0
1 -0,03 -0,14 2 4 8 -0,18 0 0 -0,10 1 1 -0,00 -0,00 0
1 0,08 -0,03 2 6 4 -0,20 0 0 -0,10 0 2 -0,00 -0,00 0
1 -0,02 0,39 2 2 4 -0,19 0 0 -0,10 0 2 -0,01 -0,00 0
1 0,03 0,01 2 8 5 0,02 1 1 0,15 0 2 -0,01 -0,00 1
0 -0,10 0,21 1 11 8 -0,18 0 0 -0,10 0 2 0,01 -0,00 0
1 -0,07 -0,13 2 9 4 -0,06 0 0 -0,10 0 2 -0,00 -0,00 1
0 0,05 -0,12 2 6 4 -0,18 0 0 -0,10 0 2 -0,01 -0,00 0
1 0,00 -0,19 1 7 4 -0,20 0 0 -0,10 0 2 -0,01 -0,00 0
0 -0,10 0,19 2 6 4 -0,04 0 1 0,32 1 2 -0,01 -0,00 0
0 -0,08 -0,16 2 11 4 -0,06 1 1 -0,06 0 2 -0,01 -0,00 1
0 0,05 -0,03 2 8 4 0,07 0 0 -0,10 0 2 0,01 -0,00 0
1 0,05 -0,18 2 4 4 -0,19 1 0 -0,10 1 2 0,00 -0,00 1
1 -0,03 0,36 2 9 4 0,32 1 0 -0,10 1 2 0,01 -0,00 1
1 -0,03 -0,17 1 13 4 -0,18 1 1 -0,02 0 2 0,00 -0,00 1
1 -0,09 -0,19 1 1 1 -0,20 0 1 0,07 0 2 -0,00 -0,00 0
0 -0,05 -0,16 2 14 8 -0,11 1 0 -0,10 1 2 -0,00 0,00 1
1 -0,03 -0,11 2 14 8 -0,11 1 1 0,07 0 2 -0,00 0,00 1
1 -0,07 0,17 2 6 4 -0,19 0 0 -0,10 0 2 -0,01 -0,00 0
0 0,13 0,36 2 4 8 0,56 1 0 -0,10 1 2 -0,01 -0,00 1
1 0,01 -0,09 2 8 4 -0,09 0 0 -0,10 1 2 0,00 -0,00 0
1 0,05 0,22 1 4 4 -0,19 0 0 -0,10 0 2 -0,00 -0,00 0
1 0,11 0,07 2 8 4 -0,11 0 0 -0,10 1 2 -0,01 -0,00 0
1 -0,03 -0,03 1 3 8 0,32 1 1 -0,02 1 2 -0,00 -0,00 0
0 0,03 -0,16 2 6 4 -0,13 1 1 0,07 0 2 -0,01 0,00 1
